name,show,theme,img,primary,accessible,mobile_friendly,description,url,keywords,contact,notes
Northern Ireland local statistics explorer,TRUE,main,local-stats.png,geographic,TRUE,TRUE,"Find data on population, housing, health, education and more for your areas",https://explore.nisra.gov.uk/local-stats/,"council statistics, dea statistics, district electoral area, lgd, SDZ, super data zone, data zone, DZ, demography, town",,
Government wellbeing framework,TRUE,main,pfg-wellbeing.png,policy_specific,,,View progress towards key indicators of wellbeing as a society,https://datavis.nisra.gov.uk/executiveofficeni/pfg_wellbeing_dashboard.html,"PfG, programme for government, wellbeing dashboard, wellbeing framework, thriving children, cleaner environment, equal society, healthier lives, brighter futures, stronger economy, safer communities, caring society, better homes, living peacefully",,
Equality matters,TRUE,main,equality-matters.jpg,equality_deprivation,TRUE,TRUE,Assess differences between equality groups for key statistics across NISRA,https://explore.nisra.gov.uk/equality-matters/#,"equality data, equality statistics, s75, section 75, protected characteristics, age group, sex, marital status, disability, religious belief, sexual orientation, dependent status, ethnic group, ethnicity, political opinion, eqia, equality assessment, equality impact assessment",,
Data explorer,TRUE,main,data-explorer.png,database_lookup,,TRUE,"Download and view maps, charts and tables of NISRA data",https://explore.nisra.gov.uk/data-explorer/,"data search, data explore, topics, subjects, theme, subtheme, table, chart, graph, view data, view statistics",,
Custom area profiles,TRUE,main,custom-profile.png,geographic,,TRUE,Define a custom geography and view statistics for your selected area,https://explore.nisra.gov.uk/custom-profiles/#map,"map builder, area builder, area demographics,  custom area,",,
Public Health Agency Making life better,TRUE,main,,policy_specific,,,View indicators relating to themes under making life better strategy for health trusts,https://visual.nisra.gov.uk/?body=entity/las,"pha, public health, making life better, health and social care trust, health trust, indicators, giving every child the best start, equipped throughout life, empowering healthy living, creating the conditions, empowering communities",,
Deprivation in Northern Ireland,TRUE,main,,equality_deprivation,,TRUE,Find out about deprivation in any local neighbourhood or council,,"deprivation, deprived, mdm, council, neighbourhood, multiple deprivation measure,",,
Census flexible table builder,TRUE,main,table-builder.png,database_lookup,,,Search Census 2021 data using existing tables or build your own enquiry,https://build.nisra.gov.uk/en/,"Census, Census 2021, census data, census tables,",,
Census area explorer,TRUE,main,census-area-explorer.png,geographic,,TRUE,"Census data for councils, district electoral areas and smaller statistical geographies",https://explore.nisra.gov.uk/area-explorer-2021/,"census, census 2021, census data, explore census, demography, demographics, country of birth, nationality, language, religion, ethnicity, health, housing, households, marital status, sexual orientation, qualifications, migration, travel to work",,
"Social, economic and environmental indicators",TRUE,main,seei.png,policy_specific,,,"View indicators relating to social, economic and environmental change",https://visual.nisra.gov.uk/?body=entity/teo,"migration, earnings, pay, income, prejudice, belonging, respect, international reputation, border crossings,",,
Data portal,TRUE,main,,database_lookup,,,"Access data by theme, year and geography. Download CSV, excel, JSON or API.",https://data.nisra.gov.uk/,,,
Weekly deaths,,people_communities,,geographic,TRUE,TRUE,"Compare registered deaths with expected deaths. Explore flu or COVID-19 deaths. View charts, tables, maps.",https://explore.nisra.gov.uk/weekly-deaths/,"flu, pneumonia, registered deaths, death occurrences",,
Baby names,TRUE,people_communities,,policy_specific,TRUE,TRUE,Investigate popular names now and over time. Look at trends in names of your choice. View tables and charts.,https://datavis.nisra.gov.uk/vitalStatistics/baby-names-dashboard.html,"baby names, popular names, name search",,
Census through the ages,TRUE,people_communities,,equality_deprivation,,,"Read about people, households and ages from Census 2021",https://nicensus2021.shinyapps.io/census-through-the-ages/,"Census, population, households, population age, scrollytelling",,
Population estimates,,people_communities,,database_lookup,,,Explore population data from 2001 to 2022. View and filter charts and tables.,https://nisrapopstatsdashboard.shinyapps.io/MYE_Dashboard_2022/,"population, migration, natural change, council population, population change, population structure, population age",,Use this now and replace with population dashboard when ready?
Rural data hub,TRUE,people_communities,,geographic,,,"Build your own area by selecting small geographies on the map. View maps and tables of demographic, education, economic and health data.",https://daera-sasb.github.io/Rural-Data-Hub/create.html,"Rural, urban, map builder, geographic data",,
Racial equality indicators,,people_communities,,policy_specific,TRUE,TRUE,,https://explore.nisra.gov.uk/racial-equality-indicators/,"racial, race, ethnicity,",,Ready to be promoted?
Economic overview,TRUE,business_economy_trade,,equality_deprivation,,,"View charts showing key economic indicators. Economic output, labour market and business.",https://datavis.nisra.gov.uk/economy-and-labour-market/economic-overview.html,"Economic indicators, economy, business data, labour market, employment, NICEI, composite economic index, GVA, gross value added index, imports, exports, sales, turnover, economic inactivity, jobs, index of services, index of production, construction, earnings, r&d, research and development",,
Economic quarterly output,TRUE,business_economy_trade,,database_lookup,,,"View NI Composite Economic Index (NICEI) for each sector. Quarterly, annual and annualised figures. View charts and download and view tables",https://datavis.nisra.gov.uk/economy-and-labour-market/economic-output-quarterly.html,"economic output, NICEI, services, production, manufacturing, construction, retail",,
Monthly trade in goods,TRUE,business_economy_trade,,geographic,,,"Explore goods imported to and exported from NI. Details on products, countries and trading partners. View charts and tables",https://datavis.nisra.gov.uk/economy-and-labour-market/trade-dashboard.html,"trade, trade partners, trade products, export, import",,
Economic trade statistics,TRUE,business_economy_trade,,policy_specific,,,"View goods and services imports and exports. Annual figures on value, partners, and industry. Charts, maps, tables.",https://visual.nisra.gov.uk/?body=entity/niets,"NIETS, Northern Ireland Economic Trade Statistics, BESES, broad economy sales and exports statistics, trade in goods and services, business, trade",,
Food and drink processing sector,,business_economy_trade,,geographic,,,Employment and turnover in food and drink processing sector. Data for sub-sectors. View table and charts. Download data.,https://datavis.nisra.gov.uk/daera/food-drink-processing-sector.html#northern-ireland-food-drink-processing-sector-dashboard,"food and drink, animal by-products, bakeries, beef, sheepmeap, drinks, eggs, fish, fruit and vegetables, milk, dairy, pigmeat, poultry",,Out of date? 1989-2022
Tourism alternative data,,business_economy_trade,,policy_specific,,,,,,,? Out  of date? Up to 2022
Nation Brands Index,TRUE,business_economy_trade,,equality_deprivation,,,"Explore Northern Ireland's international reputation across 6 dimensions. See ranks and scores. Charts, tables and maps.",https://datavis.nisra.gov.uk/executiveofficeni/nation-brands-index.html,"NI reputation, northern ireland reputation, nation brands index, exposure to NI, familiarity with NI, favourability towards NI, visited NI",,
Northern Ireland Executive spending,TRUE,business_economy_trade,,database_lookup,,,View public spending by department over past 9 years. Quick read and full analysis available. Charts and download.,https://explore.nisra.gov.uk/ni-executive-spending/,"executive spending, public spending, public services spending, public services cost, benefits, pensions, investment, AME, DEL",,
Overview of NI trade with GN,,business_economy_trade,,geographic,,,,,,,"? Slide deck, published 2023"
Economy and labour market summary,TRUE,business_economy_trade,,policy_specific,,,High-level statistical summary of the economy and labour market. Slide deck.,https://www.nisra.gov.uk/publications/ni-economy-and-labour-market-summary-key-statistics,"economic activity, business activity, businesses, service sector, manufacturing, construction, finance, jobs, innovation, r&d, research and development",,
Imports and exports of goods,TRUE,business_economy_trade,,equality_deprivation,,,"Explore trade in goods between regions of the UK and rest of the world. HRMC data. Maps, charts.",https://uktradeingoodsmap.nisra.gov.uk/?reporter=NI&partner&commodity&year=2024,"goods, imports, exports, commodiities, partners, trade balance",,
Legal Services Agency operational activity dashboard,,crime_justice,,database_lookup,,,"Legal Services Agency management information. Payments and non payments. Charts, tables.",https://datavis.nisra.gov.uk/lsani/LSANI-Performance-dashboard-2025-26.html,"civil payment, criminal payment, criminal applications, emergency applications, appeals, processing times",,Management information.
Higher education enrolments,,education_skills,,geographic,,,"Explore university enrolments. Institutions, subjects and students. Interactive tables",https://datavis.nisra.gov.uk/economy/higher-education-enrolments-2324-interactive-tables.html,"HE, higher education, university, enrolments, STEM, undergraduate, postgraduate, students, HE subjects, degree subjects",,? 2023-24
Higher education qualifications,,education_skills,,policy_specific,,,"Explore university qualifications of students from NI and studying in NI. Students, subjects, institutions and awards. Interactive tables.",https://datavis.nisra.gov.uk/economy/higher-education-qualifications-2324-interactive-tables.html,"HE, higher education, university, qualifications, STEM, undergraduate, postgraduate, students, degree classifications",,? 2023-24
Further education outcomes,,education_skills,,geographic,,,"Next steps for those gaining an FE qualification. Employment, learning, unemployment. Charts.",https://datavis.nisra.gov.uk/economy/Further-Education-Outcomes-Dashboard-2023-24.html,"further education, college education, apprenticeship, essential skills, STEM, ESOL, english for speakers of other languages",,? 2023-24
Quality and outcomes framework,,health,,policy_specific,,,GP practice performance against quality of care indicators.  Points and achievement rates. Charts,https://datavis.nisra.gov.uk/health/ni-qof-achievement.html#achievement,,,? 2022-23 (discontinued)
Disease prevalence dashboard,TRUE,health,,equality_deprivation,,,"Prevalence of disease per 1,000 patients. Analyse by time and region. Charts and downloadable tables.",https://datavis.nisra.gov.uk/health/ni-raw-disease-prevalence-trends.html,"raw disease rates, raw disease, asthma, COPD, atrial fibrillation, cancer, kidney disease, coronary heart disease, dementia, diabetes, heart failure, hypertension, mental health, stroke, TIA",,
Emergency care waiting times,TRUE,health,,database_lookup,,,"View patient waiting times at emergency departments. By hospital and Trust. Interactive tables and charts, download data",https://datavis.nisra.gov.uk/health/ni-emergency-care-waiting-times-data-apr-jun-26.html#table,"emergency care, A&E, waiting times, emergency department",,
Hospital statistics: acute episode-based activity,,health,,geographic,,,,,,,? Out of date? 2022-23
Mental health and learning disability inpatient statistics,,health,,policy_specific,,,,,,,? Out of date? 2023-24
Health inequalities dashboard,TRUE,health,,equality_deprivation,,,"Explore health inequalities and deprivation. NI, health trust and council. Charts and tables.",https://datavis.nisra.gov.uk/health/health-inequalities-dashboard.html,"life expectancy, premature mortality, disease, hospital activity, mental health, alcohol, smoking, drugs, pregnancy, childhood BMI, dental health",,
Prescription cost dashboard,TRUE,health,,database_lookup,,,"Explore prescription items and costs. Time trends and by conditions. Tables, charts, download data",https://datavis.nisra.gov.uk/bso/pca-dashboard-2025.html,"prescriptions, drugs, pharmaceutical, BNF, british national formulary, medicine, drug tariff",,
Smoking cessation dashboard,TRUE,health,,geographic,,,"Success rates for people using smoking cessation services. Progress at 4 and 52 weeks. Charts, tables.",https://datavis.nisra.gov.uk/health/smoking-cessation-dashboard.html,"smoking, quit smoking, quit date, smoker, tobacco",,
Sodium valproate and topiramate monitoring,TRUE,health,,policy_specific,,,Monitoring medicines identified as having potentially harmful effects to neonates if taken during pregnancy or prior to conception.,https://datavis.nisra.gov.uk/bso/sodium-valproate-and-topiramate-monitoring-dashboard.html,"medicine, MHRA, safe use",,
Road network and condition dashboard,TRUE,transport,,geographic,,,"Data on road length, road condition and surface defects. View by council. Charts and maps.",https://visual.nisra.gov.uk/?body=entity/roads,"roads, motorway, A road, B road, C road, scanner, road condition index, RCI",,
Local Authority collected waste dashboard,TRUE,transport,,policy_specific,,,"Tonnes of waste collected and managed by councils. Recycling, composting, landfill etc. Charts.",https://datavis.nisra.gov.uk/daera/northern-ireland-waste-management-statistics.html#tonnes-collected,"waste, waste management, recycling, reuse, compost, landfill, energy recovery, household waste, municipal waste",,
Livestock dashboard,,transport,,equality_deprivation,,,,https://datavis.nisra.gov.uk/daera/northern-ireland-livestock.html,,Farmsurvey.PED@daera-ni.gov.uk,? Out of date?
Greenhouse gas inventory,TRUE,transport,,database_lookup,TRUE,TRUE,"Greenhouse gas emissions since 1990. View emissions from different sectors and over time. Charts, download data.",https://explore.nisra.gov.uk/northern-ireland-greenhouse-gas-inventory/,"greenhouse gas, climate change, net zero, carbon dioxide, methane",,
Road safety strategy dashboard,TRUE,transport,,geographic,,,"People killed or seriously injured from road traffic collisions. Progress towards strategic targets. Charts, maps",https://datavis.nisra.gov.uk/infrastructure/RSS2030_targets_2024.html,"road traffic accidents, traffic collisions, road fatalities, car accidents, motorbike accidents, KSI, killed or seriously injured, NIRSS",,
Energy strategy dashboard,TRUE,transport,,policy_specific,,,"Energy savings, renewable energy and green economy. 2030 targets and progress. Key statistics, charts",https://datavis.nisra.gov.uk/economy/Energy_Strategy_Dashboard_202601.html,"energy, green energy, green economy, renewables, greenhouse gas, household bills, fuel poverty, gas prices, electricity prices, energy use",,
Labour market dashboard,TRUE,work_pay,,equality_deprivation,,,"Employment, unemployment and economic inactivity rates. View by sex and age. Charts, tables, download data.",https://datavis.nisra.gov.uk/economy-and-labour-market/labour-market-interactive.html#employment,"employment rate, unemployment rate, economic inactivity, labour force survey, LFS",,
Labour market by age,,work_pay,,database_lookup,,,,https://datavis.nisra.gov.uk/economy-and-labour-market/labour-market-by-age.html,,,? Out of date? 1995-2021
Local labour market insight dashboard,TRUE,work_pay,,geographic,,,"Explore employment, qualifications and skills, and information on businesses in each council. Charts, maps.",https://datavis.nisra.gov.uk/communities/local-lmi-dashboard.html,"employment, unemployment, economically inactive, qualifications, skills, GDP, gross domestic product, productivity, business births, business deaths, businesses, LFS, labour force survey",,
Employee earnings by occupation and industry,,work_pay,,policy_specific,,,,https://datavis.nisra.gov.uk/economy-and-labour-market/earnings-by-occupation-industry-2021.html,,economicstats@nisra.gov.uk,Out of date - 2021
